label,message
ham,Hey are we still meeting tomorrow at 10 am
ham,Please send me the project report
ham,Can you call me after class
ham,Your appointment is confirmed for Monday
ham,Hi how are you doing today
ham,Please remember to bring your ID card
ham,The meeting has been moved to room 204
ham,Thanks for your help with the assignment
ham,I will reach college in ten minutes
ham,Can you share the notes from today's lecture
ham,Your order has been delivered successfully
ham,Please find the document attached
ham,Let me know if you are available this evening
ham,Happy birthday have a wonderful day
ham,Your password was changed successfully
ham,The team meeting starts at 2 pm
ham,Please submit the application before Friday
ham,Thank you for contacting our support team
ham,Your electricity bill is ready to view
ham,Can we discuss the project tomorrow
ham,Don't forget our presentation at 11
ham,I have attached the assignment file
ham,Please call me when you are free
ham,Your class will begin at 9 am tomorrow
ham,Thanks for the update
spam,Congratulations you have won a free prize click now
spam,You won a cash reward claim your money today
spam,URGENT claim your free gift by clicking this link
spam,You have been selected for a special cash prize
spam,Win a brand new phone for free call now
spam,Congratulations you are the lucky winner
spam,Free entry in our weekly prize draw text WIN now
spam,Claim your exclusive reward before it expires
spam,You have won a free vacation click to claim
spam,Limited time offer get your free bonus now
spam,URGENT you have won a lottery prize
spam,Get rich quickly with this amazing opportunity
spam,Free money waiting for you claim now
spam,You are selected for a guaranteed cash reward
spam,Click here to receive your free gift
spam,Act now to get your exclusive prize
spam,Winner claim your cash reward today
spam,You have been chosen to receive a free voucher
spam,Special offer congratulations claim your bonus
spam,Make money fast from home guaranteed income
spam,Your number has won a lucky draw prize
spam,Free tickets available click now
spam,Claim your reward immediately limited offer
spam,You are a lucky winner call now
spam,Exclusive deal free cash reward waiting for you
